ISBN-13,Google Books ID,Reading List ID,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
9780307278128,mCF2bjlqkaMC,,The Hidden Reality,Parallel Universes and the Deep Laws of the Cosmos,"Greene, Brian",443,,Alfred A. Knopf,"The bestselling author of The Elegant Universe and The Fabric of the Cosmos tackles perhaps the most mind-bending question in modern physics and cosmology: Is our universe the only universe?

There was a time when ""universe"" meant all there is. Everything. Yet, a number of theories are converging on the possibility that our universe may be but one among many parallel universes populating a vast multiverse. Here, Briane Greene, one of our foremost physicists and science writers, takes us on a breathtaking journey to a multiverse comprising an endless series of big bangs, a multiverse with duplicates of every one of us, a multiverse populated by vast sheets of spacetime, a multiverse in which all we consider real are holographic illusions, and even a multiverse made purely of math--and reveals the reality hidden within each.

Using his trademark wit and precision, Greene presents a thrilling survey of cutting-edge physics and confronts the inevitable question: How can fundamental science progress if great swaths of reality lie beyond our reach? The Hidden Reality is a remarkable adventure through a world more vast and strange than anything we could have imagined.",Cosmology; Physics; Quantum Theory; Science,en,2021-01-23,,2021-01-30,,,,,,Scientific (16)
9780765365279,LN_a49HEpmwC,,The Way of Kings,,"Sanderson, Brandon",1258,,St. Martin's Press,"From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, Book One of the Stormlight Archive begins an incredible new saga of epic proportion.

Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.

It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them.

One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.

Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity.

Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.

The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.

Speak again the ancient oaths:

Life before death.
Strength before weakness.
Journey before Destination.

and return to men the Shards they once bore.

The Knights Radiant must stand again.

Other Tor books by Brandon Sanderson

The Cosmere

The Stormlight Archive
The Way of Kings
Words of Radiance
Edgedancer (Novella)
Oathbringer

The Mistborn trilogy
Mistborn: The Final Empire
The Well of Ascension
The Hero of Ages

Mistborn: The Wax and Wayne series
Alloy of Law
Shadows of Self
Bands of Mourning

Collection
Arcanum Unbounded

Other Cosmere novels
Elantris
Warbreaker

The Alcatraz vs. the Evil Librarians series
Alcatraz vs. the Evil Librarians
The Scrivener's Bones
The Knights of Crystallia
The Shattered Lens
The Dark Talent

The Rithmatist series
The Rithmatist

Other books by Brandon Sanderson

The Reckoners
Steelheart
Firefight
Calamity",Action & Adventure; Epic; Fantasy; Fiction; Military,en,2021-01-30,,2021-02-11,,,,,,
9781429949620,kYjqAQAAQBAJ,,Words of Radiance,Book Two of the Stormlight Archive,"Sanderson, Brandon",1088,,Tom Doherty Associates,"From #1 New York Times bestselling author Brandon Sanderson, Words of Radiance, Book Two of the Stormlight Archive, continues the immersive fantasy epic that The Way of Kings began.

Expected by his enemies to die the miserable death of a military slave, Kaladin survived to be given command of the royal bodyguards, a controversial first for a low-status ""darkeyes."" Now he must protect the king and Dalinar from every common peril as well as the distinctly uncommon threat of the Assassin, all while secretly struggling to master remarkable new powers that are somehow linked to his honorspren, Syl.

The Assassin, Szeth, is active again, murdering rulers all over the world of Roshar, using his baffling powers to thwart every bodyguard and elude all pursuers. Among his prime targets is Highprince Dalinar, widely considered the power behind the Alethi throne. His leading role in the war would seem reason enough, but the Assassin's master has much deeper motives.

Brilliant but troubled Shallan strives along a parallel path. Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow. The secrets she needs can be found at the Shattered Plains, but just arriving there proves more difficult than she could have imagined.

Meanwhile, at the heart of the Shattered Plains, the Parshendi are making an epochal decision. Hard pressed by years of Alethi attacks, their numbers ever shrinking, they are convinced by their war leader, Eshonai, to risk everything on a desperate gamble with the very supernatural forces they once fled. The possible consequences for Parshendi and humans alike, indeed, for Roshar itself, are as dangerous as they are incalculable.

Other Tor books by Brandon Sanderson

The Cosmere

The Stormlight Archive
The Way of Kings
Words of Radiance
Edgedancer (Novella)
Oathbringer

The Mistborn trilogy
Mistborn: The Final Empire
The Well of Ascension
The Hero of Ages

Mistborn: The Wax and Wayne series
Alloy of Law
Shadows of Self
Bands of Mourning

Collection
Arcanum Unbounded

Other Cosmere novels
Elantris
Warbreaker

The Alcatraz vs. the Evil Librarians series
Alcatraz vs. the Evil Librarians
The Scrivener's Bones
The Knights of Crystallia
The Shattered Lens
The Dark Talent

The Rithmatist series
The Rithmatist

Other books by Brandon Sanderson

The Reckoners
Steelheart
Firefight
Calamity

At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Action & Adventure; Epic; Fantasy; Fiction; Military,en,2021-02-14,,2021-03-15,,,,,,
9780593084687,UM_GDwAAQBAJ,,Humble Pi,When Math Goes Wrong in the Real World,"Parker, Matt",336,,Penguin,"An international bestseller

The book-length answer to anyone who ever put their hand up in math class and asked, ""When am I ever going to use this in the real world?""

""Fun, informative, and relentlessly entertaining, Humble Pi is a charming and very readable guide to some of humanity's all-time greatest miscalculations--that also gives you permission to feel a little better about some of your own mistakes."" --Ryan North, author of How to Invent Everything 

Our whole world is built on math, from the code running a website to the equations enabling the design of skyscrapers and bridges. Most of the time this math works quietly behind the scenes . . . until it doesn't. All sorts of seemingly innocuous mathematical mistakes can have significant consequences.

Math is easy to ignore until a misplaced decimal point upends the stock market, a unit conversion error causes a plane to crash, or someone divides by zero and stalls a battleship in the middle of the ocean.

Exploring and explaining a litany of glitches, near misses, and mathematical mishaps involving the internet, big data, elections, street signs, lotteries, the Roman Empire, and an Olympic team, Matt Parker uncovers the bizarre ways math trips us up, and what this reveals about its essential place in our world. Getting it wrong has never been more fun.",Applied; Form; History & Philosophy; Humor; Mathematics; Trivia,en,2021-03-15,,2021-03-20,,,,,,
9780765399830,VsT3DQAAQBAJ,,Oathbringer,Book Three of the Stormlight Archive,"Sanderson, Brandon",1248,,Tom Doherty Associates,"The #1 New York Times bestselling sequel to Words of Radiance, from epic fantasy author Brandon Sanderson at the top of his game.

In Oathbringer, the third volume of the New York Times bestselling Stormlight Archive, humanity faces a new Desolation with the return of the Voidbringers, a foe with numbers as great as their thirst for vengeance.

Dalinar Kholin’s Alethi armies won a fleeting victory at a terrible cost: The enemy Parshendi summoned the violent Everstorm, which now sweeps the world with destruction, and in its passing awakens the once peaceful and subservient parshmen to the horror of their millennia-long enslavement by humans. While on a desperate flight to warn his family of the threat, Kaladin Stormblessed must come to grips with the fact that the newly kindled anger of the parshmen may be wholly justified.

Nestled in the mountains high above the storms, in the tower city of Urithiru, Shallan Davar investigates the wonders of the ancient stronghold of the Knights Radiant and unearths dark secrets lurking in its depths. And Dalinar realizes that his holy mission to unite his homeland of Alethkar was too narrow in scope. Unless all the nations of Roshar can put aside Dalinar’s blood-soaked past and stand together—and unless Dalinar himself can confront that past—even the restoration of the Knights Radiant will not prevent the end of civilization.


Other Tor books by Brandon Sanderson

The Cosmere

The Stormlight Archive
The Way of Kings
Words of Radiance
Edgedancer (Novella)
Oathbringer 

The Mistborn trilogy
Mistborn: The Final Empire
The Well of Ascension
The Hero of Ages

Mistborn: The Wax and Wayne series
Alloy of Law
Shadows of Self
Bands of Mourning

Collection
Arcanum Unbounded

Other Cosmere novels
Elantris
Warbreaker

The Alcatraz vs. the Evil Librarians series
Alcatraz vs. the Evil Librarians
The Scrivener's Bones
The Knights of Crystallia
The Shattered Lens
The Dark Talent

The Rithmatist series
The Rithmatist

Other books by Brandon Sanderson

The Reckoners
Steelheart
Firefight
Calamity

At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Action & Adventure; Epic; Fantasy; Fiction; Military,en,2021-03-22,,2021-04-01,,,,,,
9780451205360,Dp9Xc7ew2mYC,,The Richest Man in Babylon,,"Clason, George Samuel",144,,Signet,"Beloved by millions, this timeless classic holds the key to all you desire and everything you wish to accomplish. This is the book that reveals the secret to personal wealth.

The Success Secrets of the Ancients?
An Assured Road to Happiness and Prosperity

Countless readers have been helped by the famous ?Babylonian parables,” hailed as the greatest of all inspirational works on the subject of thrift, financial planning, and personal wealth. In language as simple as that found in the Bible, these fascinating and informative stories set you on a sure path to prosperity and its accompanying joys. Acclaimed as a modern-day classic, this celebrated bestseller offers an understanding of?and a solution to?your personal financial problems that will guide you through a lifetime. This is the book that holds the secrets to keeping your money?and making more.

The Richest Man in Babylon
Read it and recommend it to loved ones?
and get on the road to riches.

MORE THAN TWO MILLION BOOKS SOLD",Business & Economics; Business Ethics; Motivational; Personal Finance,en,2021-04-02,,2021-04-02,,,,,,
9780393356939,24xgDwAAQBAJ,,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Twelfth Edition),,"Malkiel, Burton G.",432,,W. W. Norton & Company,"A Best Book For Investors Pick by the Wall Street Journal’s “Weekend Investor”

Whether you’re considering your first 401k contribution, contemplating retirement, or anywhere in between, A Random Walk Down Wall Street is the best investment guide money can buy. In this new edition, Burton G. Malkiel shares authoritative insights spanning the full range of investment opportunities—including valuable new material on cryptocurrencies like bitcoin, and “tax-loss harvesting”—to help you chart a calm course through the turbulent waters of today’s financial markets.",Business & Economics; Investing; Money Management; Personal Finance; Retirement Planning,en,2021-04-04,,2021-04-17,,,,,,
9780307744432,BolPvgAACAAJ,,The Night Circus,A Novel,"Morgenstern, Erin",516,,Anchor Books,"NEW YORK TIMES BESTSELLER 
The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night.

But behind the scenes, a fierce competition is underway: a duel between two young magicians, Celia and Marco, who have been trained since childhood expressly for this purpose by their mercurial instructors. Unbeknownst to them both, this is a game in which only one can be left standing. Despite the high stakes, Celia and Marco soon tumble headfirst into love, setting off a domino effect of dangerous consequences, and leaving the lives of everyone, from the performers to the patrons, hanging in the balance.

Author Q&A with Erin Morgenstern

This is a lovely and unique story. Why a circus? How did this story first come to you—through a character, a plotline, an emotion?

The story came as a location created out of desperation. I was working on a different story altogether, one that was becoming progressively more and more boring because nothing was happening. I needed something exciting to happen and I couldn't figure out how to do it with the locations I had so I sent the characters to the circus. That circus was immediately much more interesting and eventually I abandoned that other story and its characters entirely and focused on the circus instead. What eventually became The Night Circus started from exploring that spontaneously-created location, figuring out who created it and who performed in it and what its story was.

What was your inspiration for some of the amazing acts in this circus?

Some of them were traditional circus acts or attractions made a bit more unique, like the acrobats performing directly overhead or the carousel that doesn't simply go in circles. The Cloud Maze is a play on a climbing maze I hazily recall from childhood visits to the Boston Children's Museum. Other tents were created based on color, or lack thereof. I had a lot of dark tents and wanted something lighter and white, the Ice Garden developed from that relatively simple starting point.

Do you have a favorite character?

It's impossible to pick a true favorite, though Poppet & Widget are very dear to my heart as they're the first of the characters to turn up in my imagination. They're also just plain fun, both individually and as a pair.

What was the most challenging aspect of developing this story?

It didn't have a plot for a very long time. Really, my biggest challenge was finding the actual story within all the atmosphere. I had the place and the characters and the feel of the book long before it had a proper story structure to tie everything together. The novel went through a great many revisions before it figured out what it wanted to be, I tried things that didn't work and then things that sort of worked and replaced old ideas with new ones until I got it right.

Is there an emotion that you had to spend a lot of time with that made you uncomfortable?

I'm an emotional sort of person in general and I have a vivid imagination, so I feel the whole spectrum of emotion strongly when I write. It's something I'm used to, though, so nothing in particular made me uncomfortable. There is a lot of frustration felt by various characters, which is not the nicest emotion to be spending a lot of time with, but it helps to drive characters to actions which bring different emotions along.

Tell me about your writing life. Do you have any rituals?

I binge write. I think it's because I started seriously writing by participating in National Novel Writing Month, an online-based challenge to write 50,000 words in 30 days. I don't have as tight a time limit anymore but",Fiction; Historical; Literary,en,2021-04-18,,2021-04-20,,,,,,
9780765350374,BwLtmAEACAAJ,,Elantris,Tenth Anniversary Author's Definitive Edition,"Sanderson, Brandon",656,,Tom Doherty Associates,"Elantris was the capital of Arelon: gigantic, beautiful, literally radiant, filled with benevolent beings who used their powerful magical abilities for the benefit of all. Yet each of these demigods was once an ordinary person until touched by the mysterious transforming power of the Shaod. Ten years ago, without warning, the magic failed. Elantrians became wizened, leper-like, powerless creatures, and Elantris itself dark, filthy, and crumbling.

Arelon's new capital, Kae, crouches in the shadow of Elantris. Princess Sarene of Teod arrives for a marriage of state with Crown Prince Raoden, hoping -- based on their correspondence -- to also find love. She finds instead that Raoden has died and she is considered his widow. Both Teod and Arelon are under threat as the last remaining holdouts against the imperial ambitions of the ruthless religious fanatics of Fjordell. So Sarene decides to use her new status to counter the machinations of Hrathen, a Fjordell high priest who has come to Kae to convert Arelon and claim it for his emperor and his god.

But neither Sarene nor Hrathen suspect the truth about Prince Raoden. Stricken by the same curse that ruined Elantris, Raoden was secretly exiled by his father to the dark city. His struggle to help the wretches trapped there begins a series of events that will bring hope to Arelon, and perhaps reveal the secret of Elantris itself.

Other Tor books by Brandon Sanderson

The Cosmere

The Stormlight Archive
The Way of Kings
Words of Radiance
Edgedancer (Novella)
Oathbringer

The Mistborn trilogy
Mistborn: The Final Empire
The Well of Ascension
The Hero of Ages

Mistborn: The Wax and Wayne series
Alloy of Law
Shadows of Self
Bands of Mourning

Collection
Arcanum Unbounded

Other Cosmere novels
Elantris
Warbreaker

The Alcatraz vs. the Evil Librarians series
Alcatraz vs. the Evil Librarians
The Scrivener's Bones
The Knights of Crystallia
The Shattered Lens
The Dark Talent

The Rithmatist series
The Rithmatist

Other books by Brandon Sanderson

The Reckoners
Steelheart
Firefight
Calamity",Epic; Fantasy; Fiction,en,2021-04-20,,2021-04-24,,,,,,
9780735211292,XfFvDwAAQBAJ,,Atomic Habits,"Tiny Changes, Remarkable Results : an Easy & Proven Way to Build Good Habits & Break Bad Ones","Clear, James",306,,Penguin,"The #1 New York Times bestseller. Over 1 million copies sold!

Tiny Changes, Remarkable Results

No matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.

If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.

Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.

Learn how to:
- make time for new habits (even when life gets crazy);
- overcome a lack of motivation and willpower;
- design your environment to make success easier;
- get back on track when you fall off course;
...and much more.

Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.",Business & Economics; Organizational Behavior; PSYCHOLOGY; Personal Growth; SELF-HELP; Social Psychology,en,2021-04-27,,2021-04-30,,,,,,
9780525509288,lbqkDwAAQBAJ,,How to Be an Antiracist,,"Kendi, Ibram X.",320,,Random House Publishing Group,"From the National Book Award-winning author of Stamped from the Beginning comes a bracingly original approach to understanding and uprooting racism and inequality in our society--and in ourselves.

""The only way to undo racism is to consistently identify and describe it--and then dismantle it.""

Ibram X. Kendi's concept of antiracism reenergizes and reshapes the conversation about racial justice in America--but even more fundamentally, points us toward liberating new ways of thinking about ourselves and each other. In How to Be an Antiracist, Kendi asks us to think about what an antiracist society might look like, and how we can play an active role in building it.

In this book, Kendi weaves an electrifying combination of ethics, history, law, and science, bringing it all together with an engaging personal narrative of his own awakening to antiracism. How to Be an Antiracist is an essential work for anyone who wants to go beyond an awareness of racism to the next step: contributing to the formation of a truly just and equitable society.

Advance praise for How to Be an Antiracist

""This latest from the National Book Award-winning author is no guidebook to getting woke. . . . Rather, it is a combination of memoir and extension of . . . Kendi's towering Stamped From the Beginning that leads readers through a taxonomy of racist thought to anti-racist action. . . . Never wavering . . . Kendi methodically examines racism through numerous lenses: power, biology, ethnicity, body, culture, and so forth. . . . If Kendi is justifiably hard on America, he's just as hard on himself. . . . This unsparing honesty helps readers, both white and people of color, navigate this difficult intellectual territory. Not an easy read but an essential one.""--Kirkus Reviews (starred review)

""Ibram Kendi is today's visionary in the enduring struggle for racial justice. In this personal and revelatory new work, he yet again holds up a transformative lens, challenging both mainstream and antiracist orthodoxy. He illuminates the foundations of racism in revolutionary new ways, and I am consistently challenged and inspired by his analysis. How to Be an Antiracist offers us a necessary and critical way forward.""--Robin DiAngelo, New York Times bestselling author of White Fragility",Civil Rights; Discrimination & Race Relations; HISTORY; Political Advocacy; Political Process; Political Science; Social Science; United States,en,2021-05-02,,2021-05-11,,,,,,
9781595555274,0WbZmQEACAAJ,,The Total Money Makeover,A Proven Plan for Financial Fitness,"Ramsey, Dave",237,,Thomas Nelson,"New York Times bestseller! More than Five million copies sold!

You CAN take control of your money. Build up your money muscles with America's favorite finance coach.

Okay, folks, do you want to turn those fat and flabby expenses into a well-toned budget? Do you want to transform your sad and skinny little bank account into a bulked-up cash machine? Then get with the program, people. There's one sure way to whip your finances into shape, and that's with The Total Money Makeover: Classic Edition.

By now, you've heard all the nutty get-rich-quick schemes, the fiscal diet fads that leave you with a lot of kooky ideas but not a penny in your pocket. Hey, if you're tired of the lies and sick of the false promises, take a look at this--it's the simplest, most straightforward game plan for completely making over your money habits. And it's based on results, not pie-in-the-sky fantasies. With The Total Money Makeover: Classic Edition, you'll be able to:

Design a sure-fire plan for paying off all debt--meaning cars, houses, everythingRecognize the 10 most dangerous money myths (these will kill you)Secure a big, fat nest egg for emergencies and retirement!

Includes new, expanded ""Dave Rants"" sidebars tackle marriage conflict, college debt, and more. All-new forms and back-of-the-book resources to make Total Money Makeover a reality.

Dive deeper into Dave's game plan with The Total Money Makeover Workbook: Classic Edition. The Total Money Makeover: Classic Edition is also available in Spanish, transformación total de su dinero.",Business & Economics; Christian Life; Education; Finance; Money Management; Personal Finance; Religion; Stewardship & Giving,en,2021-05-13,,2021-05-29,,,,,,
9780553448122,qqg_DwAAQBAJ,,Artemis,A Novel,"Weir, Andy",305,,Crown,"The bestselling author of The Martian returns with an irresistible new near-future thriller--a heist story set on the moon.

Jasmine Bashara never signed up to be a hero. She just wanted to get rich.

Not crazy, eccentric-billionaire rich, like many of the visitors to her hometown of Artemis, humanity's first and only lunar colony. Just rich enough to move out of her coffin-sized apartment and eat something better than flavored algae. Rich enough to pay off a debt she's owed for a long time.

So when a chance at a huge score finally comes her way, Jazz can't say no. Sure, it requires her to graduate from small-time smuggler to full-on criminal mastermind. And it calls for a particular combination of cunning, technical skills, and large explosions--not to mention sheer brazen swagger. But Jazz has never run into a challenge her intellect can't handle, and she figures she's got the 'swagger' part down.

The trouble is, engineering the perfect crime is just the start of Jazz's problems. Because her little heist is about to land her in the middle of a conspiracy for control of Artemis itself.

Trapped between competing forces, pursued by a killer and the law alike, even Jazz has to admit she's in way over her head. She'll have to hatch a truly spectacular scheme to have a chance at staying alive and saving her city.

Jazz is no hero, but she is a very good criminal.

That'll have to do.

Propelled by its heroine's wisecracking voice, set in a city that's at once stunningly imagined and intimately familiar, and brimming over with clever problem-solving and heist-y fun, Artemis is another irresistible brew of science, suspense, and humor from #1 bestselling author Andy Weir.",Action & Adventure; Fiction; Hard Science Fiction; Science Fiction; Suspense; Thrillers,en,2021-05-30,,2021-06-06,,,,,,
9780553418835,cbwvDwAAQBAJ,,Weapons of Math Destruction,How Big Data Increases Inequality and Threatens Democracy,"O'Neil, Cathy",259,,Crown,"Longlisted for the National Book Award
New York Times Bestseller

A former Wall Street quant sounds an alarm on the mathematical models that pervade modern life -- and threaten to rip apart our social fabric

We live in the age of the algorithm. Increasingly, the decisions that affect our lives--where we go to school, whether we get a car loan, how much we pay for health insurance--are being made not by humans, but by mathematical models. In theory, this should lead to greater fairness: Everyone is judged according to the same rules, and bias is eliminated.

But as Cathy O'Neil reveals in this urgent and necessary book, the opposite is true. The models being used today are opaque, unregulated, and uncontestable, even when they're wrong. Most troubling, they reinforce discrimination: If a poor student can't get a loan because a lending model deems him too risky (by virtue of his zip code), he's then cut off from the kind of education that could pull him out of poverty, and a vicious spiral ensues. Models are propping up the lucky and punishing the downtrodden, creating a ""toxic cocktail for democracy."" Welcome to the dark side of Big Data.

Tracing the arc of a person's life, O'Neil exposes the black box models that shape our future, both as individuals and as a society. These ""weapons of math destruction"" score teachers and students, sort r sum s, grant (or deny) loans, evaluate workers, target voters, set parole, and monitor our health.

O'Neil calls on modelers to take more responsibility for their algorithms and on policy makers to regulate their use. But in the end, it's up to us to become more savvy about the models that govern our lives. This important book empowers us to ask the tough questions, uncover the truth, and demand change.

-- Longlist for National Book Award (Non-Fiction)
-- Goodreads, semi-finalist for the 2016 Goodreads Choice Awards (Science and Technology)
-- Kirkus, Best Books of 2016
-- New York Times,  100 Notable Books of 2016 (Non-Fiction)
-- The Guardian, Best Books of 2016
-- WBUR's ""On Point,"" Best Books of 2016: Staff Picks
-- Boston Globe, Best Books of 2016, Non-Fiction",BUSINESS & ECONOMICS; Political Science; Privacy & Surveillance; Public Policy; SOCIAL SCIENCE; Statistics,en,2021-06-09,,2021-06-13,,,,,,
9780765326386,qLrFuQEACAAJ,,Rhythm of War,,"Sanderson, Brandon",1232,,Tom Doherty Associates,"An instant #1 New York Times Bestseller and a USA Today and Indie Bestseller!

The Stormlight Archive saga continues in Rhythm of War, the eagerly awaited sequel to Brandon Sanderson's #1 New York Times bestselling Oathbringer, from an epic fantasy writer at the top of his game.

After forming a coalition of human resistance against the enemy invasion, Dalinar Kholin and his Knights Radiant have spent a year fighting a protracted, brutal war. Neither side has gained an advantage, and the threat of a betrayal by Dalinar’s crafty ally Taravangian looms over every strategic move.

Now, as new technological discoveries by Navani Kholin’s scholars begin to change the face of the war, the enemy prepares a bold and dangerous operation. The arms race that follows will challenge the very core of the Radiant ideals, and potentially reveal the secrets of the ancient tower that was once the heart of their strength.

At the same time that Kaladin Stormblessed must come to grips with his changing role within the Knights Radiant, his Windrunners face their own problem: As more and more deadly enemy Fused awaken to wage war, no more honorspren are willing to bond with humans to increase the number of Radiants. Adolin and Shallan must lead the coalition’s envoy to the honorspren stronghold of Lasting Integrity and either convince the spren to join the cause against the evil god Odium, or personally face the storm of failure.

Other Tor books by Brandon Sanderson

The Cosmere

The Stormlight Archive
The Way of Kings
Words of Radiance
Edgedancer (Novella)
Oathbringer
Rhythm of War

The Mistborn trilogy
Mistborn: The Final Empire
The Well of Ascension
The Hero of Ages

Mistborn: The Wax and Wayne series
Alloy of Law
Shadows of Self
Bands of Mourning

Collection
Arcanum Unbounded

Other Cosmere novels
Elantris
Warbreaker

The Alcatraz vs. the Evil Librarians series
Alcatraz vs. the Evil Librarians
The Scrivener's Bones
The Knights of Crystallia
The Shattered Lens
The Dark Talent

The Rithmatist series
The Rithmatist

Other books by Brandon Sanderson

The Reckoners
Steelheart
Firefight
Calamity",Action & Adventure; Epic; Fantasy; Fiction; Military,en,2021-06-17,,2021-06-23,,,,,,
9780062683649,LbZFDwAAQBAJ,,Dark Horse,Achieving Success Through the Pursuit of Fulfillment,"Rose, Todd; Ogas, Ogi",304,,HarperCollins,"For generations, we've been stuck with a cookie-cutter mold for success that requires us to be the same as everyone else, only better. This ""standard formula"" works for some people but leaves most of us feeling disengaged and frustrated. As much as we might dislike the standard formula, it seems like there's no other practical path to financial security and a fulfilling life. But what if there is?

In the Dark Horse Project at the Harvard Graduate School of Education, bestselling author and acclaimed thought leader Todd Rose and neuroscientist Ogi Ogas studied women and men who achieved impressive success even though nobody saw them coming. Dark horses blaze their own trail to a life of happiness and prosperity. Yet what is so remarkable is that hidden inside their seemingly one-of-a-kind journeys are practical principles for achieving success that work for anyone, no matter who you are or what you hope to achieve. This mold-breaking approach doesn't depend on you SAT scores, who you know, or how much money you have. The secret is a mindset that can be expressed in plain English: Harness your individuality in the pursuit of fulfillment to achieve excellence.

In Dark Horse, Rose and Ogas show how the four elements of the dark horse mindset empower you to consistently make the right choices that fit your unique interests, abilities, and circumstances and will guide you to a life of passion, purpose, and achievement.",Applied Psychology; Business & Economics; Motivational; Personal Success; Psychology,en,2021-07-02,,2021-07-08,,,,,,
9780593135204,GrYsEAAAQBAJ,,Project Hail Mary,A Novel,"Weir, Andy",496,,Ballantine Books,"NEW YORK TIMES BESTSELLER - From the author of The Martian,  a lone astronaut must save the earth from disaster in this ""propulsive"" (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science--in development as a major motion picture starring Ryan Gosling.

""An epic story of redemption, discovery and cool speculative sci-fi.""--USA Today

""If you loved The Martian,  you'll go crazy for Weir's latest.""--The Washington Post

Ryland Grace is the sole survivor on a desperate, last-chance mission--and if he fails, humanity and the earth itself will perish.

Except that right now, he doesn't know that. He can't even remember his own name, let alone the nature of his assignment or how to complete it.

All he knows is that he's been asleep for a very, very long time. And he's just been awakened to find himself millions of miles from home, with nothing but two corpses for company.

His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it's up to him to puzzle out an impossible scientific mystery--and conquer an extinction-level threat to our species.

And with the clock ticking down and the nearest human being light-years away, he's got to do it all alone.

Or does he?

An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian--while taking us to places it never dreamed of going.",Action & Adventure; Fiction; Hard Science Fiction; Science Fiction; Suspense; Thrillers,en,2021-07-08,,2021-07-10,,,,,,
9781590385814,iSlQuwEACAAJ,,Fablehaven,,"Mull, Brandon",357,,Aladdin,"When Kendra and Seth go to stay at their grandparents' estate, they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming.",,en,2022-01-05,,2022-01-07,,,,,,
9781590387429,L09SBAAACAAJ,,Rise of the Evening Star,,"Mull, Brandon",441,,Shadow Mountain,"The most dangerous evil has infinite subtlety and patience. Beware: It is rising.

At the end of the school year, Kendra and her brother, Seth, find themselves racing back to Fablehaven, a refuge for mythical and magical creatures. Grandpa Sorenson, the caretaker, invites three specialists--a potion master, a magical relics collector, and a mystical creature trapper--to help protect the property from the Society of the Evening Star, an ancient organization determined to infiltrate the preserve and steal a hidden artifact of great power. Time is running out. The Evening Star is storming the gates. If the artifact falls into the wrong hands, it could mean the downfall of other preserves and possibly the world. Will Kendra learn to use her fairy gifts in time? Will Seth stay out of trouble? Can they overcome paralyzing fear? Find out in book two of this bestselling children's fantasy series.","Action & Adventure; Animals; Dragons, Unicorns & Mythical; Family; Fantasy & Magic; Juvenile Fiction; Siblings",en,2022-01-07,,2022-01-08,,,,,,
